Barcode,Cluster
1,6
2,6
3,2
4,4
5,6
6,4
7,4
8,4
9,23
10,4
11,25
12,4
13,4
14,4
15,4
16,4
17,4
18,25
19,26
20,2
21,4
22,4
23,25
24,25
25,4
26,4
27,4
28,4
29,4
30,5
31,25
32,4
33,4
34,15
35,4
36,4
37,4
38,2
39,1
40,4
41,4
42,1
43,2
44,2
45,2
46,18
47,2
48,4
49,5
50,2
51,26
52,2
53,2
54,2
55,2
56,2
57,2
58,25
59,2
60,26
61,4
62,4
63,4
64,6
65,4
66,5
67,20
68,5
69,5
70,25
71,4
72,4
73,25
74,5
75,19
76,26
77,28
78,4
79,6
80,26
81,4
82,4
83,16
84,4
85,16
86,4
87,4
88,4
89,4
90,18
91,25
92,4
93,4
94,4
95,4
96,4
97,6
98,1
99,4
100,1
101,1
102,6
103,4
104,4
105,4
106,4
107,4
108,4
109,4
110,2
111,15
112,4
113,2
114,2
115,4
116,18
117,4
118,2
119,2
120,6
121,4
122,4
123,23
124,1
125,21
126,4
127,5
128,1
129,4
130,21
131,4
132,4
133,25
134,4
135,4
136,5
137,4
138,1
139,4
140,4
141,4
142,4
143,4
144,4
145,2
146,25
147,4
148,4
149,4
150,26
151,4
152,16
153,4
154,4
155,6
156,26
157,6
158,6
159,16
160,6
161,4
162,4
163,4
164,28
165,4
166,4
167,6
168,5
169,6
170,4
171,4
172,1
173,16
174,16
175,2
176,5
177,8
178,8
179,8
180,23
181,8
182,8
183,8
184,1
185,15
186,8
187,8
188,8
189,23
190,10
191,5
192,6
193,8
194,8
195,8
196,16
197,5
198,8
199,10
200,10
201,10
202,10
203,10
204,8
205,5
206,16
207,1
208,23
209,16
210,1
211,5
212,6
213,15
214,6
215,1
216,5
217,5
218,6
219,16
220,16
221,5
222,6
223,6
224,10
225,6
226,10
227,6
228,6
229,16
230,6
231,6
232,10
233,6
234,6
235,16
236,26
237,23
238,1
239,4
240,16
241,1
242,6
243,1
244,6
245,5
246,1
247,6
248,4
249,4
250,6
251,8
252,1
253,8
254,19
255,16
256,8
257,18
258,16
259,8
260,8
261,8
262,19
263,10
264,8
265,19
266,19
267,9
268,16
269,8
270,8
271,8
272,8
273,10
274,10
275,8
276,8
277,10
278,5
279,1
280,8
281,8
282,6
283,8
284,8
285,8
286,5
287,5
288,15
289,8
290,8
291,8
292,8
293,8
294,10
295,8
296,8
297,1
298,10
299,10
300,23
301,8
302,8
303,8
304,8
305,8
306,8
307,19
308,26
309,8
310,1
311,10
312,8
313,10
314,8
315,8
316,1
317,6
318,26
319,8
320,8
321,1
322,10
323,8
324,1
325,8
326,8
327,8
328,8
329,6
330,1
331,8
332,8
333,6
334,1
335,8
336,23
337,8
338,6
339,8
340,8
341,8
342,6
343,8
344,8
345,1
346,3
347,8
348,8
349,20
350,20
351,11
352,1
353,11
354,1
355,18
356,11
357,11
358,11
359,11
360,11
361,20
362,20
363,21
364,11
365,11
366,1
367,11
368,11
369,20
370,11
371,11
372,11
373,20
374,20
375,18
376,11
377,28
378,20
379,11
380,9
381,19
382,19
383,11
384,1
385,11
386,18
387,11
388,11
389,11
390,11
391,1
392,11
393,11
394,11
395,1
396,11
397,9
398,1
399,11
400,11
401,9
402,11
403,20
404,11
405,9
406,19
407,11
408,11
409,20
410,11
411,1
412,20
413,18
414,11
415,11
416,2
417,20
418,11
419,11
420,11
421,11
422,11
423,1
424,11
425,11
426,11
427,11
428,11
429,18
430,20
431,20
432,20
433,11
434,2
435,20
436,18
437,11
438,1
439,1
440,20
441,11
442,11
443,11
444,11
445,1
446,11
447,11
448,20
449,11
450,11
451,20
452,20
453,11
454,11
455,11
456,11
457,20
458,18
459,11
460,20
461,2
462,1
463,2
464,18
465,11
466,9
467,9
468,9
469,9
470,9
471,9
472,9
473,9
474,9
475,22
476,22
477,22
478,22
479,17
480,22
481,17
482,2
483,2
484,22
485,2
486,17
487,17
488,22
489,22
490,17
491,2
492,1
493,2
494,22
495,22
496,22
497,22
498,2
499,22
500,2
501,9
502,2
503,2
504,17
505,22
506,22
507,22
508,22
509,22
510,2
511,2
512,22
513,22
514,22
515,2
516,17
517,26
518,17
519,17
520,21
521,1
522,1
523,22
